Week,Flat_Type,trend
2021-04-25,One Bedroom Flat,50
2021-05-02,One Bedroom Flat,51
2021-05-09,One Bedroom Flat,50
2021-05-16,One Bedroom Flat,55
2021-05-23,One Bedroom Flat,45
2021-05-30,One Bedroom Flat,51
2021-06-06,One Bedroom Flat,44
2021-06-13,One Bedroom Flat,45
2021-06-20,One Bedroom Flat,48
2021-06-27,One Bedroom Flat,59
2021-07-04,One Bedroom Flat,47
2021-07-11,One Bedroom Flat,52
2021-07-18,One Bedroom Flat,46
2021-07-25,One Bedroom Flat,49
2021-08-01,One Bedroom Flat,53
2021-08-08,One Bedroom Flat,54
2021-08-15,One Bedroom Flat,51
2021-08-22,One Bedroom Flat,60
2021-08-29,One Bedroom Flat,55
2021-09-05,One Bedroom Flat,52
2021-09-12,One Bedroom Flat,46
2021-09-19,One Bedroom Flat,51
2021-09-26,One Bedroom Flat,53
2021-10-03,One Bedroom Flat,50
2021-10-10,One Bedroom Flat,58
2021-10-17,One Bedroom Flat,55
2021-10-24,One Bedroom Flat,47
2021-10-31,One Bedroom Flat,44
2021-11-07,One Bedroom Flat,57
2021-11-14,One Bedroom Flat,47
2021-11-21,One Bedroom Flat,43
2021-11-28,One Bedroom Flat,46
2021-12-05,One Bedroom Flat,47
2021-12-12,One Bedroom Flat,46
2021-12-19,One Bedroom Flat,32
2021-12-26,One Bedroom Flat,44
2022-01-02,One Bedroom Flat,51
2022-01-09,One Bedroom Flat,55
2022-01-16,One Bedroom Flat,56
2022-01-23,One Bedroom Flat,51
2022-01-30,One Bedroom Flat,57
2022-02-06,One Bedroom Flat,54
2022-02-13,One Bedroom Flat,61
2022-02-20,One Bedroom Flat,50
2022-02-27,One Bedroom Flat,53
2022-03-06,One Bedroom Flat,53
2022-03-13,One Bedroom Flat,50
2022-03-20,One Bedroom Flat,51
2022-03-27,One Bedroom Flat,55
2022-04-03,One Bedroom Flat,50
2022-04-10,One Bedroom Flat,46
2022-04-17,One Bedroom Flat,54
2022-04-24,One Bedroom Flat,56
2022-05-01,One Bedroom Flat,47
2019-01-06,En-suite,42
2019-01-13,En-suite,39
2019-01-20,En-suite,36
2019-01-27,En-suite,34
2019-02-03,En-suite,42
2019-02-10,En-suite,37
2019-02-17,En-suite,33
2019-02-24,En-suite,38
2019-03-03,En-suite,36
2019-03-10,En-suite,36
2019-03-17,En-suite,43
2019-03-24,En-suite,38
2019-03-31,En-suite,38
2019-04-07,En-suite,39
2019-04-14,En-suite,36
2019-04-21,En-suite,30
2019-04-28,En-suite,34
2019-05-05,En-suite,39
2019-05-12,En-suite,34
2019-05-19,En-suite,34
2019-05-26,En-suite,34
2019-06-02,En-suite,34
2019-06-09,En-suite,42
2019-06-16,En-suite,36
2019-06-23,En-suite,34
2019-06-30,En-suite,32
2019-07-07,En-suite,33
2019-07-14,En-suite,31
2019-07-21,En-suite,43
2019-07-28,En-suite,34
2019-08-04,En-suite,39
2019-08-11,En-suite,47
2019-08-18,En-suite,40
2019-08-25,En-suite,42
2019-09-01,En-suite,39
2019-09-08,En-suite,34
2019-09-15,En-suite,43
2019-09-22,En-suite,42
2019-09-29,En-suite,37
2019-10-06,En-suite,38
2019-10-13,En-suite,39
2019-10-20,En-suite,29
2019-10-27,En-suite,33
2019-11-03,En-suite,43
2019-11-10,En-suite,34
2019-11-17,En-suite,30
2019-11-24,En-suite,27
2019-12-01,En-suite,22
2019-12-08,En-suite,18
2019-12-15,En-suite,21
2019-12-22,En-suite,33
2019-12-29,En-suite,33
2020-01-05,En-suite,44
2020-01-12,En-suite,39
2020-01-19,En-suite,36
2020-01-26,En-suite,41
2020-02-02,En-suite,37
2020-02-09,En-suite,36
2020-02-16,En-suite,42
2020-02-23,En-suite,40
2020-03-01,En-suite,39
2020-03-08,En-suite,31
2020-03-15,En-suite,19
2020-03-22,En-suite,16
2020-03-29,En-suite,25
2020-04-05,En-suite,19
2020-04-12,En-suite,25
2020-04-19,En-suite,29
2020-04-26,En-suite,33
2020-05-03,En-suite,30
2020-05-10,En-suite,33
2020-05-17,En-suite,38
2020-05-24,En-suite,38
2020-05-31,En-suite,39
2020-06-07,En-suite,51
2020-06-14,En-suite,38
2020-06-21,En-suite,44
2020-06-28,En-suite,44
2020-07-05,En-suite,41
2020-07-12,En-suite,40
2020-07-19,En-suite,41
2020-07-26,En-suite,47
2020-08-02,En-suite,46
2020-08-09,En-suite,54
2020-08-16,En-suite,62
2020-08-23,En-suite,49
2020-08-30,En-suite,48
2020-09-06,En-suite,43
2020-09-13,En-suite,46
2020-09-20,En-suite,46
2020-09-27,En-suite,43
2020-10-04,En-suite,41
2020-10-11,En-suite,38
2020-10-18,En-suite,45
2020-10-25,En-suite,41
2020-11-01,En-suite,34
2020-11-08,En-suite,38
2020-11-15,En-suite,38
2020-11-22,En-suite,37
2020-11-29,En-suite,30
2020-12-06,En-suite,27
2020-12-13,En-suite,28
2020-12-20,En-suite,25
2020-12-27,En-suite,40
2021-01-03,En-suite,42
2021-01-10,En-suite,45
2021-01-17,En-suite,47
2021-01-24,En-suite,46
2021-01-31,En-suite,46
2021-02-07,En-suite,41
2021-02-14,En-suite,54
2021-02-21,En-suite,53
2021-02-28,En-suite,48
2021-03-07,En-suite,37
2021-03-14,En-suite,51
2021-03-21,En-suite,45
2021-03-28,En-suite,47
2021-04-04,En-suite,46
2021-04-11,En-suite,50
2021-04-18,En-suite,42
2021-04-25,En-suite,50
2021-05-02,En-suite,41
2021-05-09,En-suite,42
2021-05-16,En-suite,43
2021-05-23,En-suite,41
2021-05-30,En-suite,37
2021-06-06,En-suite,38
2021-06-13,En-suite,34
2021-06-20,En-suite,41
2021-06-27,En-suite,38
2021-07-04,En-suite,48
2021-07-11,En-suite,46
2021-07-18,En-suite,40
2021-07-25,En-suite,48
2021-08-01,En-suite,47
2021-08-08,En-suite,50
2021-08-15,En-suite,53
2021-08-22,En-suite,52
2021-08-29,En-suite,50
2021-09-05,En-suite,45
2021-09-12,En-suite,48
2021-09-19,En-suite,42
2021-09-26,En-suite,40
2021-10-03,En-suite,45
